member,boss_name,damage,unit1,unit2,unit3,unit4,unit5
DRUIN,Porter,19307636556,Crown,RRH,Siren,Raven,M.Mast
DRUIN,Rebuild Fingers,21719054726,X.Brid,Liter,Helm,X.Diesel,Mih:bc
DRUIN,Land Eater,15876719566,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
TIOROMAN,Porter,16036900122,Liter,Crown,RRH,Raven,Helm
TIOROMAN,Material H,21997649106,Siren,Nayuta,SBS,Liberalio,M.Mast
TIOROMAN,Plate,18735036160,Miranda,Grave,Snow.HA,S.Dorothy,X.Soline
JRAINZ,Porter,15244442022,B.Ade,Miranda,RRH,Raven,S.Helm
JRAINZ,Material H,20490118536,Nayuta,Siren,SBS,Liberalio,M.Mast
JRAINZ,Plate,20324343763,Crown,Liter,Snow.HA,S.Dorothy,Helm
BX,Plate,22262824193,S.Dorothy,Grave,Siren,Snow.HA,S.Elegg
BX,Land Eater,16732639919,S.Anis,B.Ade,Cinderella,Rouge,X.Maiden
BX,Porter,14519394169,Liter,Crown,RRH,Red Hood,Helm
RYOTAME,Porter,18485380578,Crown,RRH,Siren,Raven,M.Mast
RYOTAME,Land Eater,17838888723,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
RYOTAME,Rebuild Fingers,17103636218,Liter,X.Brid,Helm,X.Diesel,Mih:bc
DER,Land Eater,17838888723,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
SAL,Land Eater,17838888723,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
LO,Land Eater,17838888723,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
